2920 1010363
4380 1017045
5840 1019040
7300 1019049
8760 1019050
10220 1021316
11680 1021327
13140 1021329
14600 1021331
16060 1023219
17520 1023231
18980 1023233
20440 1023235
21900 1023237
23360 1023239
24820 1023240
26280 1024952
27740 1025006
29200 1025010
30660 1025012
32120 1025014
33580 1025016
35040 1025018
36500 1025020
37960 1025021
39420 1025023
40880 1025025
42340 1026217
43800 1026226
45260 1026229
46720 1026230
48180 1026232
49640 1026234
51100 1026236
52560 1026237
54020 1026239
55480 1026240
56940 1026242
58400 1026244
59860 1026245
61320 1026247
62780 1026248
64240 1026250
32120 1030432
33580 1041291
35040 1050081
36500 1053851
17520 1058001
18980 1058035
20440 1061420
21900 1061764
23360 1067460
24820 1067541
26280 1075880
27740 1075927
29200 1079378
14600 1095944
16060 1095992
17520 1103476
18980 1110931
20440 1110962
21900 1114537
23360 1114559
24820 1120452
26280 1127952
27740 1127976
29200 1132233
30660 1132273
32120 1132307
33580 1132341
35040 1135126
36500 1140145
37960 1140204
18980 1143391
20440 1143426
21900 1152295
23360 1161181
24820 1167686
26280 1167733
27740 1193956
29200 1193989
14600 1194062
16060 1201127
17520 1201273
18980 1207387
20440 1207466
10220 1207493
11680 1207505
13140 1213840
14600 1214007
16060 1214109
17520 1232377
18980 1232420
20440 1240339
21900 1240372
10220 1252407
11680 1252431
13140 1257310
14600 1258108
7300 1263099
8760 1263108
10220 1269019
11680 1274885
13140 1274931
14600 1275075
16060 1275107
17520 1278853
18980 1278920
20440 1280117
21900 1280144
23360 1283825
24820 1283887
26280 1290936
27740 1290982
29200 1303153
30660 1305068
14600 1310655
16060 1310693
17520 1310715
18980 1313968
20440 1323490
21900 1323704
23360 1323797
24820 1346382
26280 1346423
27740 1355900
13140 1355932
14600 1361224
16060 1361260
17520 1364676
18980 1364696
20440 1364712
21900 1368692
23360 1368714
24820 1380831
11680 1380866
13140 1388854
14600 1395805
16060 1395823
17520 1395837
18980 1399259
20440 1399313
21900 1403378
23360 1407041
24820 1408792
11680 1425404
13140 1425431
14600 1436696
16060 1445276
17520 1445349
18980 1448425
20440 1449183
21900 1452886
23360 1452937
24820 1453652
26280 1458085
27740 1471351
29200 1471397
30660 1477132
14600 1477165
16060 1480682
17520 1480857
18980 1480974
8760 1492314
10220 1492417
11680 1495594
13140 1495663
14600 1495681
7300 1502390
8760 1508695
10220 1508726
11680 1512638
13140 1516954
14600 1516985
16060 1520491
7300 1524647
8760 1526390
10220 1526403
11680 1526457
13140 1528692
14600 1528773
16060 1528857
17520 1530819
18980 1537879
8760 1537913
10220 1541823
11680 1541877
13140 1550900
14600 1550955
16060 1550971
17520 1558627
18980 1558645
20440 1562554
21900 1565887
10220 1569609
11680 1569627
13140 1589870
14600 1593573
16060 1600960
17520 1604713
8760 1604757
10220 1621551
11680 1623522
13140 1625552
14600 1633343
7300 1633541
8760 1635556
10220 1638533
11680 1638545
13140 1640698
14600 1642499
16060 1644611
7300 1644645
8760 1646730
10220 1648618
11680 1650522
13140 1654716
14600 1655705
16060 1658201
7300 1659779
8760 1662741
10220 1662828
11680 1670971
13140 1671519
14600 1672166
16060 1672535
17520 1682872
18980 1682896
8760 1693500
10220 1693538
11680 1703651
13140 1703726
14600 1706671
16060 1708223
17520 1713888
18980 1713909
20440 1719094
10220 1719130
11680 1723605
13140 1725700
14600 1725982
7300 1726002
8760 1727525
10220 1729663
11680 1729677
13140 1736487
14600 1741662
16060 1743591
17520 1745511
18980 1747604
20440 1749820
21900 1759432
23360 1763514
24820 1767703
26280 1771836
27740 1777550
13140 1783811
14600 1783823
16060 1785585
17520 1791535
18980 1791554
20440 1798610
10220 1798645
11680 1806832
13140 1806856
14600 1821605
16060 1826141
17520 1838038
18980 1842647
8760 1848401
10220 1848410
11680 1859945
13140 1859966
14600 1869976
16060 1874974
17520 1878523
18980 1883875
20440 1887413
10220 1890326
11680 1890337
13140 1890346
14600 1897148
16060 1898100
17520 1898561
18980 1906383
20440 1907406
21900 1907433
23360 1908559
24820 1910393
26280 1910415
27740 1916864
29200 1917475
30660 1921402
32120 1924759
