PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=131 ttl=63 time=3429 ms
64 bytes from 10.0.2.22: icmp_seq=132 ttl=63 time=3534 ms
64 bytes from 10.0.2.22: icmp_seq=135 ttl=63 time=3566 ms
64 bytes from 10.0.2.22: icmp_seq=144 ttl=63 time=3577 ms
64 bytes from 10.0.2.22: icmp_seq=146 ttl=63 time=3576 ms
64 bytes from 10.0.2.22: icmp_seq=156 ttl=63 time=3596 ms
64 bytes from 10.0.2.22: icmp_seq=162 ttl=63 time=3608 ms
64 bytes from 10.0.2.22: icmp_seq=166 ttl=63 time=6424 ms
64 bytes from 10.0.2.22: icmp_seq=170 ttl=63 time=8725 ms
64 bytes from 10.0.2.22: icmp_seq=171 ttl=63 time=9132 ms
64 bytes from 10.0.2.22: icmp_seq=172 ttl=63 time=9536 ms
64 bytes from 10.0.2.22: icmp_seq=174 ttl=63 time=10346 ms
64 bytes from 10.0.2.22: icmp_seq=177 ttl=63 time=11585 ms
64 bytes from 10.0.2.22: icmp_seq=179 ttl=63 time=11997 ms
64 bytes from 10.0.2.22: icmp_seq=181 ttl=63 time=11823 ms
64 bytes from 10.0.2.22: icmp_seq=184 ttl=63 time=11557 ms
64 bytes from 10.0.2.22: icmp_seq=186 ttl=63 time=11383 ms
64 bytes from 10.0.2.22: icmp_seq=189 ttl=63 time=11125 ms
64 bytes from 10.0.2.22: icmp_seq=191 ttl=63 time=10953 ms
64 bytes from 10.0.2.22: icmp_seq=192 ttl=63 time=10864 ms
64 bytes from 10.0.2.22: icmp_seq=194 ttl=63 time=10683 ms
64 bytes from 10.0.2.22: icmp_seq=197 ttl=63 time=10407 ms
64 bytes from 10.0.2.22: icmp_seq=223 ttl=63 time=7739 ms
64 bytes from 10.0.2.22: icmp_seq=244 ttl=63 time=5590 ms
64 bytes from 10.0.2.22: icmp_seq=255 ttl=63 time=4493 ms
64 bytes from 10.0.2.22: icmp_seq=259 ttl=63 time=4098 ms
64 bytes from 10.0.2.22: icmp_seq=264 ttl=63 time=3599 ms
64 bytes from 10.0.2.22: icmp_seq=270 ttl=63 time=2996 ms
64 bytes from 10.0.2.22: icmp_seq=286 ttl=63 time=1384 ms
64 bytes from 10.0.2.22: icmp_seq=295 ttl=63 time=516 ms
64 bytes from 10.0.2.22: icmp_seq=296 ttl=63 time=492 ms
64 bytes from 10.0.2.22: icmp_seq=297 ttl=63 time=463 ms
64 bytes from 10.0.2.22: icmp_seq=298 ttl=63 time=436 ms
64 bytes from 10.0.2.22: icmp_seq=299 ttl=63 time=397 ms
64 bytes from 10.0.2.22: icmp_seq=300 ttl=63 time=381 ms
64 bytes from 10.0.2.22: icmp_seq=301 ttl=63 time=386 ms
